datasetname,avg_supp,kl_supp,wkl_supp,avg_usg,kl_usg,wkl_usg,wacc_supp,wacc_usg,jacc_avg,n_rules,avg_items,top1_std,length_ratio,wkl_sum,std_rules,length_orig,length_final,runtime,nsamples_train, 
cholesterol,6.0,5.2334,31.4005,6.0,5.2334,31.4005,624.899,624.899,0,1,3.0,103.4775,0.9958,31.4005,103.4775,2300.2755,2290.6137,6.2335,297, 
baseball,98.5,2.5811,155.404,38.75,2.6404,80.6759,84184.5538,38405.0371,0.2493,8,2.375,12.1156,0.9025,645.4074,365.8517,4152.2079,3747.1757,56.0217,337, 
autoMPG8,78.4,1.5702,102.6448,35.6,1.9737,64.6465,523.302,231.3522,0.1446,10,1.8,1.5151,0.8045,646.4648,2.1831,1963.784,1579.8146,21.183,392, 
dee,85.25,1.5662,86.7681,42.25,1.5786,60.5008,64.0306,34.3361,0.1412,8,1.875,0.2878,0.6178,484.0064,0.3689,728.4986,450.0571,20.8619,365, 
ele-1,150.2222,1.4502,134.8907,53.8889,1.4112,68.5317,117576.2905,40763.7425,0.2539,9,1.6667,1470.5443,0.9361,616.7856,624.1199,6048.2207,5661.7786,0.9241,495, 
forestFires,37.3043,8.2709,129.3351,19.8696,8.3609,85.4726,450.0626,248.9389,0.0263,23,3.0,513.58,0.7221,1965.8704,40.3652,4155.6044,3000.8309,135.4937,517, 
concrete,128.3158,1.6169,99.6021,49.4737,1.8639,68.8371,1443.9755,625.4601,0.058,19,2.6316,3.5804,0.8912,1307.9058,6.4232,6291.9271,5607.6162,86.3663,1030, 
treasury,93.4516,3.5656,252.9605,33.5806,4.1442,126.2038,207.3859,85.2307,0.0371,31,2.0968,0.0347,0.2963,3912.3179,0.3347,3988.5519,1181.8765,372.0731,1049, 
wizmir,255.8636,2.0972,456.5833,66.0,2.7827,181.0762,3435.2634,831.2035,0.1156,22,2.0909,2.2589,0.624,3983.6753,2.1184,8608.5266,5371.9018,172.4042,1461, 
abalone,358.04,1.0832,215.0809,156.48,1.0421,118.5537,702.981,302.9382,0.0301,25,2.52,4.52,0.8571,2963.8427,2.0989,15604.6465,13374.1619,480.6847,4177, 
puma32h,771.8571,1.5171,602.0926,194.119,1.5832,277.239,12.8195,4.2407,0.0414,42,2.881,0.0102,0.7174,11644.0399,0.0118,-24571.4795,-34251.5258,6829.2681,8192, 
ailerons,406.533,2.0155,396.4658,69.4264,5.9686,110.4066,0.108,0.0196,0.0096,197,3.6599,0.0,0.8701,21750.1048,0.0001,-126675.9783,-145581.1491,43045.2287,13750, 
elevators,408.475,3.1607,435.0881,100.7812,3.0613,134.4647,1.5484,0.3891,0.0084,160,4.1625,0.007,0.8545,21514.3503,0.0039,-85831.7573,-100446.8052,24468.4154,16599, 
bikesharing,737.4882,2.2449,905.9904,132.4173,2.1221,230.2536,92803.2342,16719.4264,0.0215,127,3.9291,4.5439,0.8585,29242.2033,64.5947,165969.2083,142485.6016,10769.7655,17379, 
california,439.7853,2.8011,381.3726,120.3129,2.9392,145.2261,32831251.0054,9382515.0818,0.0078,163,4.2822,0.0,0.9585,23671.8535,47114.3897,389338.2958,373162.4665,16217.2326,20640, 
house,381.5893,5.1027,583.8059,78.6821,6.2482,169.2901,10708724.3667,2306193.3413,0.0061,280,4.675,151644.8071,0.9195,47401.2334,34378.4751,404108.4538,371564.3124,69967.1331,22784,